name,asset,mass,speed,health,accel,inertia,collision
BEE2,ship2_0_0,1.0,4.5,120,14.0,0.0,25.0
BEE3,ship2_0_1,1.0,5.0,500,16.0,0.0,50.0
GHOST2,ship2_6_0,1.0,4.0,500,12.0,0.1,25.0
CYGNUS2,ship2_5_0,2.0,6.0,400,15.0,0.1,62.5
CYGNUS3,ship2_5_1,2.0,6.0,800,18.0,0.1,62.5
MOTH,ship2_7,2.5,6.0,30,30.0,0.0,7.5
BAT,ship2_2,2.5,4.0,100,12.0,0.0,10.0
BEE,ship2_0,1.0,4.0,40,12.0,0.0,16.5
ROCINANTE2,ship2_10_1,3.0,10.0,600,18.0,0.1,62.5
ROCINANTE,ship2_10,3.0,8.0,180,16.0,0.1,33.0
OSPREY,ship2_3,30.0,10.0,100,50.0,0.0,16.5
GHOST3,ship2_6_1,1.0,5.0,1000,12.0,0.1,75.0
GREENK2,ship2_1_0,2.0,2.0,80,10.0,0.0,25.0
CYGNUS,ship2_5,2.0,6.0,125,15.0,0.1,33.0
OSPREY2,ship2_3_0,30.0,12.0,400,60.0,0.1,50.0
OSPREY3,ship2_3_1,50.0,15.0,2000,80.0,0.0,100.0
PIKE,ship2_11_1,5.0,10.0,500,15.0,0.0,50.0
ESOX,ship2_11_2,5.0,10.0,1000,15.0,0.0,50.0
FLY,ship2_4,2.0,3.0,180,12.0,0.0,37.5
BLUEK,ship2_1_1,2.0,2.5,250,10.0,0.0,37.5
PIKE0,ship2_11,5.0,8.0,250,10.0,0.0,50.0
FLY3,ship2_4_1,2.0,3.0,1000,12.0,0.0,50.0
GREENK,ship2_1,2.0,2.0,20,20.0,0.0,5.0
MOTH2,ship2_7_0,2.5,10.0,180,20.0,0.0,33.0
STEALTH,ship2_9_1,2.0,4.0,1000,0.1,0.0,75.0
BAT2,ship2_2_0,2.5,4.5,300,14.0,0.0,10.0
BAT3,ship2_2_1,2.5,5.0,600,16.0,0.0,10.0
HERO,hero,0.2,3.0,25,12.0,0.0,0.0
GHOST,ship2_6,1.0,4.0,65,10.0,0.1,25.0
OSPREY3_C,ship2_3_1,2.5,2.0,2000,1.0,0.0,100.0
BULLET,bullet,0.0,8.0,0,0.0,0.0,0.0
SHIELD,shield,0.0,100.0,0,0.0,0.0,0.0
LASER,laser,0.0,5.0,0,0.0,0.0,0.0
ROCKET,rocket,0.5,20.0,0,10.0,0.0,0.0
HEROLING,heroling,1.0,8.0,0,20.0,0.0,0.0
CANNONROUND0,cannonround0,0.0,16.0,0,0.0,0.0,0.0
CANNONROUND1,cannonround1,0.0,16.0,0,0.0,0.0,0.0
FUSION,fusionBlast,0.0,5.0,0,0.0,0.0,0.0
