EVENT,ACTOR,SOUND
SPAWN,BULLET,weapon_player
SPAWN,BULLET1,weapon_player
SPAWN,BULLET2,weapon_player
SPAWN,CANNONROUND0,shot1
SPAWN,CANNONROUND1,gun
SPAWN,FUSION,fusion
SPAWN,HEROLING,weapon_enemy
SPAWN,HEROLING,crittershort10
SPAWN,HEROLING,crittershort13
SPAWN,HEROLING,crittershort51
SPAWN,HEROLING,crittershort49
SPAWN,LASER,laser2
SPAWN,ROCKET,rocket
SPAWN,ROCKET2,rocket
SPAWN,SHIELD,shield
SPAWN,SHOCKWAVE,stomp
EXPLOSION,,explosion2
EXPLOSION,,Explosion7
EXPLOSION,,blast1
OVERWHELM,,critterlong3
OVERWHELM,,critterlong4
OVERWHELM,,crittershort11
ROAR,,mothership
ROAR,,mothership3
LEVELUP,,UL_long_medium_shot_11
MOBCOLLISION,,bump1
MOBCOLLISION,,bump3
POSSESSION,,critterlong10
