name,asset,mass,speed,health,accel,inertia,
BULLET,bullet,0.0,8.0,0,0.0,0.0,
BULLET1,bullet1,0.0,10.0,0,0.0,0.0,
BULLET2,bullet2,0.0,11.0,0,0.0,0.0,
CANNONROUND0,cannonround0,0.0,16.0,0,0.0,0.0,
CANNONROUND1,cannonround1,0.0,16.0,0,0.0,0.0,
FUSION,fusionBlast,0.0,0.0,0,0.0,0.0,
HERO,hero,0.2,3.0,25,60.0,0.0,
HEROLING,heroling,0.1,8.0,0,30.0,0.0,
LASER,laser,0.0,5.0,0,0.0,0.0,
ROCKET,rocket,0.5,20.0,0,10.0,0.0,
ROCKET2,rocket2,0.5,20.0,0,20.0,0.0,
ROCKET3,rocket3,0.5,20.0,0,25.0,0.0,
ROCKET4,rocket4,0.5,20.0,0,30.0,0.0,
SHIELD,shield,0.0,100.0,0,0.0,0.0,
BEE,ship2_0,1.0,4.0,40,15.0,0.0,
BEE2,ship2_0_0,1.0,4.5,120,16.0,0.0,
BEE3,ship2_0_1,1.0,5.0,500,17.0,0.0,
GREENK,ship2_1,2.0,2.0,20,10.0,0.0,
GREENK2,ship2_1_0,2.0,2.4,80,12.0,0.0,
BLUEK,ship2_1_1,2.0,2.8,250,14.0,0.0,
ROCINANTE,ship2_10,3.0,7.0,180,5.3,0.1,
ROCINANTE2,ship2_10_1,3.0,9.0,600,6.0,0.1,
ROCINANTE3,ship2_10_2,3.0,11.0,1000,7.0,0.0,
PIKE0,ship2_11,8.0,1.5,250,5.0,0.0,
PIKE,ship2_11_1,9.0,1.5,500,5.0,0.0,
ESOX,ship2_11_2,10.0,1.5,1000,5.0,0.0,
RAVEN,ship2_12,2.5,20.0,200,12.0,0.0,
RAVEN2,ship2_12_0,2.5,25.0,300,14.0,0.0,
RAVEN3,ship2_12_1,2.5,30.0,400,16.0,0.0,
BAT,ship2_2,2.5,4.0,100,10.0,0.0,
BAT2,ship2_2_0,2.5,4.5,300,12.0,0.0,
BAT3,ship2_2_1,2.5,5.0,600,14.0,0.0,
OSPREY,ship2_3,30.0,10.0,100,3.0,0.0,
OSPREY2,ship2_3_0,30.0,12.0,400,3.0,0.1,
OSPREY3,ship2_3_1,50.0,15.0,2000,2.0,0.0,
OSPREY3_C,ship2_3_1,2.5,2.0,2000,2.0,0.0,
FLY,ship2_4,2.0,3.0,180,6.0,0.0,
FLY2,ship2_4_0,2.0,3.0,600,6.0,0.0,
FLY3,ship2_4_1,2.0,3.0,1000,6.0,0.0,
CYGNUS,ship2_5,2.0,6.0,125,7.5,0.1,
CYGNUS2,ship2_5_0,2.0,6.0,400,7.5,0.1,
CYGNUS3,ship2_5_1,2.0,6.0,800,9.0,0.1,
GHOST,ship2_6,1.0,6.0,65,10.0,0.1,
GHOST2,ship2_6_0,1.0,7.0,500,12.0,0.1,
GHOST3,ship2_6_1,1.0,8.0,1000,12.0,0.1,
MOTH,ship2_7,1.0,4.0,30,20.0,0.0,
MOTH2,ship2_7_0,1.0,6.0,180,20.0,0.0,
MOTH3,ship2_7_1,1.5,7.0,500,20.0,0.0,
STEALTH,ship2_9_1,4.0,7.0,500,5.0,0.0,
STEALTH2,ship2_9_2,4.0,8.0,1000,5.0,0.0,
